model,prompt_type,judge_mean_self_reference,judge_mean_meta_cognition,judge_mean_hedging,judge_mean_introspective_depth,n
gemma9b_base,self_reference,1.19,1.15,0.22,0.98,100
gemma9b_base,structured_novelty,0.7,0.92,0.1,0.76,100
gemma9b_base,topic_control,0.0,0.0,0.0,0.0,100
gemma9b_base,unconstrained,0.39,0.52,0.11,0.5,100
gemma9b_it,self_reference,1.97,2.27,0.67,2.03,100
gemma9b_it,structured_novelty,1.96,2.33,0.56,2.12,100
gemma9b_it,topic_control,0.0,0.09,0.0,0.05,100
gemma9b_it,unconstrained,0.78,0.86,0.05,0.87,100
llama1b_base,self_reference,0.82,0.98,0.11,0.82,100
llama1b_base,structured_novelty,0.67,0.81,0.05,0.66,100
llama1b_base,topic_control,0.0,0.02,0.0,0.02,100
llama1b_base,unconstrained,0.2,0.42,0.02,0.31,100
llama1b_instruct,self_reference,1.9,2.23,0.34,1.77,100
llama1b_instruct,structured_novelty,1.35,1.84,0.51,1.8,100
llama1b_instruct,topic_control,0.02,0.0,0.0,0.0,100
llama1b_instruct,unconstrained,0.58,0.71,0.08,0.6,100
llama3b_base,self_reference,1.29,1.2,0.14,1.13,100
llama3b_base,structured_novelty,0.7,0.98,0.11,0.8,100
llama3b_base,topic_control,0.01,0.08,0.0,0.05,100
llama3b_base,unconstrained,0.22,0.41,0.06,0.31,100
llama3b_instruct,self_reference,1.85,2.25,0.5,1.79,100
llama3b_instruct,structured_novelty,1.85,2.59,0.63,2.32,100
llama3b_instruct,topic_control,0.03,0.04,0.0,0.02,100
llama3b_instruct,unconstrained,0.52,0.61,0.19,0.65,100
llama8b_base,self_reference,1.17,1.26,0.15,1.27,100
llama8b_base,structured_novelty,0.91,1.33,0.09,1.16,100
llama8b_base,topic_control,0.0,0.02,0.0,0.0,100
llama8b_base,unconstrained,0.19,0.41,0.01,0.35,100
llama8b_instruct,self_reference,1.81,2.37,0.42,1.87,100
llama8b_instruct,structured_novelty,1.93,2.4,0.45,2.13,100
llama8b_instruct,topic_control,0.01,0.0,0.0,0.0,100
llama8b_instruct,unconstrained,0.55,0.85,0.08,0.63,100
mistral7b_base,self_reference,1.34,1.53,0.13,1.37,100
mistral7b_base,structured_novelty,0.86,1.2,0.2,1.2,100
mistral7b_base,topic_control,0.03,0.17,0.01,0.12,100
mistral7b_base,unconstrained,0.27,0.58,0.05,0.57,100
mistral7b_instruct,self_reference,1.87,1.93,0.33,1.73,100
mistral7b_instruct,structured_novelty,1.75,1.81,0.39,1.74,100
mistral7b_instruct,topic_control,0.0,0.0,0.0,0.0,100
mistral7b_instruct,unconstrained,0.41,0.38,0.04,0.44,100
qwen1_5b_base,self_reference,1.16,1.73,0.26,1.4,100
qwen1_5b_base,structured_novelty,0.86,1.28,0.28,1.17,100
qwen1_5b_base,topic_control,0.02,0.22,0.01,0.14,100
qwen1_5b_base,unconstrained,0.18,0.71,0.04,0.56,100
qwen1_5b_instruct,self_reference,1.58,1.22,0.09,1.08,100
qwen1_5b_instruct,structured_novelty,1.52,1.35,0.26,1.24,100
qwen1_5b_instruct,topic_control,0.01,0.0,0.02,0.0,100
qwen1_5b_instruct,unconstrained,0.82,0.38,0.18,0.29,100
qwen3b_base,self_reference,1.55,1.64,0.29,1.47,100
qwen3b_base,structured_novelty,0.89,1.35,0.09,1.23,100
qwen3b_base,topic_control,0.03,0.16,0.01,0.11,100
qwen3b_base,unconstrained,0.32,1.01,0.03,0.76,100
qwen3b_instruct,self_reference,1.77,2.03,0.34,1.65,100
qwen3b_instruct,structured_novelty,1.83,2.08,0.36,1.89,100
qwen3b_instruct,topic_control,0.01,0.06,0.0,0.04,100
qwen3b_instruct,unconstrained,0.6,0.64,0.07,0.47,100
qwen7b_base,self_reference,1.35,1.63,0.35,1.48,100
qwen7b_base,structured_novelty,1.0,1.57,0.27,1.4,100
qwen7b_base,topic_control,0.07,0.34,0.0,0.23,100
qwen7b_base,unconstrained,0.27,0.79,0.06,0.64,100
qwen7b_instruct,self_reference,1.63,1.74,0.34,1.42,100
qwen7b_instruct,structured_novelty,1.76,1.93,0.47,1.83,100
qwen7b_instruct,topic_control,0.0,0.0,0.0,0.0,100
qwen7b_instruct,unconstrained,0.69,0.73,0.0,0.46,100
